Sample Name,Cт,Quantity,zsp per swab
1,31.3156395,3.675941706,294.0753365
2,22.01525307,2269.504395,181560.3516
3,26.78581429,84.04920959,6723.936768
4,30.89580727,4.912905693,393.0324554
5,0,0,0
6,21.6149559,2992.536133,239402.8906
7,33.68798828,0.713756502,57.10052013
8,0,0,0
9,27.49515152,51.48709869,4118.967896
10,26.31777,116.136673,9290.933838
12,22.27312088,1899.145752,151931.6602
13,29.08920479,17.11614227,1369.291382
14,23.46252823,834.9856567,66798.85254
15,0,0,0
16,25.88588142,156.5152588,12521.2207
18,35.31734848,0.231560141,18.52481127
19,22.82219887,1299.596558,103967.7246
20,0,0,0
21,21.62844658,2964.773682,237181.8945
22,30.8971386,4.908389091,392.6711273
23,0,0,0
24,0,0,0
25,0,0,0
26,38.41933823,0.027159262,2.172740996
27,0,0,0
28,24.12746048,527.4331055,42194.64844
29,34.34847641,0.45224309,36.17944717
30,0,0,0
31,33.3144722,0.923895478,73.91163826
32,0,0,0
33,31.10097885,4.263606548,341.0885239
34,0,0,0
35,26.08679199,136.2303619,10898.42896
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,30.46917915,6.597012997,527.7610397
44,28.61927414,23.68141556,1894.513245
45,0,0,0
46,22.35432053,1795.537598,143643.0078
47,0,0,0
48,22.25656319,1920.995728,153679.6582
49,31.67656898,2.864655733,229.1724586
50,23.4075489,867.3121338,69384.9707
51,0,0,0
52,22.9719429,1171.866577,93749.32617
53,0,0,0
54,0,0,0
55,24.28755379,472.2062378,37776.49902
56,21.62811279,2965.45752,237236.6016
57,23.4934082,817.3602905,65388.82324
58,0,0,0
59,22.55603218,1561.965088,124957.207
60,20.72180557,5546.606934,443728.5547
61,26.23234367,123.1973572,9855.788574
62,20.18004799,8064.55957,645164.7656
63,0,0,0
65,26.79668999,83.42004395,6673.603516
66,26.61140442,94.81236267,7584.989014
67,22.36087608,1787.423828,142993.9063
68,0,0,0
69,0,0,0
70,21.39042091,3494.706299,279576.5039
71,24.23035431,491.2406616,39299.25293
72,22.30483818,1857.982422,148638.5938
73,0,0,0
74,29.38333511,13.9685936,1117.487488
75,23.63071823,743.3852539,59470.82031
76,0,0,0
77,22.71471214,1399.779785,111982.3828
78,29.54672432,12.47751427,998.2011414
79,30.91046524,4.863403797,389.0723038
80,23.15077972,1035.663086,82853.04688
81,0,0,0
80,18.2056,1.14E+04,912000
83,0,0,0
84,24.4623,158.813,12705.04
85,23.7563,257.105,20568.4
86,24.1527,196.165,15693.2
87,0,0,0
88,23.5489,296.189,23695.12
89,0,0,0
90,0,0,0
91,22.8516,476.667,38133.36
92,0,0,0
93,25.4863,78.961,6316.88
94,30.4991,2.58131,206.5048
95,0,0,0
96,0,0,0
97,27.4798,20.26,1620.8
98,22.0878,802.749,64219.92
99,19.5975,4.39E+03,351200
100,22.1353,777.143,62171.44
101,0,0,0
102,22.136,776.777,62142.16
103,0,0,0
104,0,0,0
106,26.8985,30.1222,2409.776
107,0,0,0
108,0,0,0
109,0,0,0
110,22.9694,439.852,35188.16
111,0,0,0
112,19.8587,3.67E+03,293600
113,0,0,0
114,26.1367,50.6613,4052.904
115,22.0566,820.01,65600.8
116,25.4095,83.2115,6656.92
117,0,0,0
118,21.0314,1.65E+03,132000
119,0,0,0
120,0,0,0
121,24.7634,129.316,10345.28
122,21.0978,1.58E+03,126400
123,27.741,16.9516,1356.128
124,21.4025,1.28E+03,102400
