Month,Day,Year,ID_Number,Treatment_uL,Weight_g,uL_g,Census
11,9,2017,85,4,0.614,6.51465798,0
11,9,2017,6,10,0.607,16.47446458,0
11,9,2017,9,14,0.541,25.8780037,0
11,9,2017,110,20,0.574,34.84320557,0
11,9,2017,11,30,0.487,61.60164271,0
11,11,2017,99,40,1.05,38.0952381,0
11,9,2017,57,40,0.891,44.89337823,0
11,11,2017,14,40,0.683,58.56515373,0
11,11,2017,77,40,0.535,74.76635514,0
11,11,2017,65,40,0.488,81.96721311,0
11,11,2017,3,50,0.686,72.88629738,0
11,11,2017,72,50,0.594,84.17508418,0
11,11,2017,55,50,0.474,105.4852321,0
11,11,2017,42,50,0.393,127.2264631,0
11,10,2017,56,60,0.891,67.34006734,0
11,11,2017,71,60,0.753,79.6812749,0
11,11,2017,112,60,0.614,97.71986971,0
11,11,2017,21,60,0.496,120.9677419,0
11,11,2017,75,60,0.46,130.4347826,0
11,14,2017,125,60,0.579,69.08462867,0
11,14,2017,126,60,0.641,62.4024961,0
11,11,2017,48,70,0.546,128.2051282,0
11,11,2017,91,70,0.461,151.8438178,0
11,11,2017,17,70,0.446,156.9506726,0
11,15,2017,17,70,0.446,156.9506726,1
11,11,2017,98,70,0.434,161.2903226,0
11,10,2017,35,80,0.729,109.739369,0
11,10,2017,50,80,0.53,150.9433962,0
11,10,2017,2,100,0.81,123.4567901,0
11,10,2017,105,120,0.561,213.9037433,0
