Frog_ID,Sample Name,CT_1,Quantity_1,CT_2,Quantity_2,CT_3,Quantity_3,Exp_day,Treatment
AC-10,BdIL101,33.72743988,1.560784698,31.47845459,6.885765076,31.32817078,6.065154076,20,Control
AC-10,BdIL120,,,36.97851944,0.240853444,NA,0,22,Control
AC-10,BdIL28,35.33333969,1.317220569,32.64810944,3.375000954,34.18431091,0.94544208,6,Control
AC-10,BdIL60,31.9081955,5.182894707,32.41316986,3.894723177,32.72367096,2.445926189,9,Control
AC-10,BdIL80,35.16366959,1.471620917,34.73339081,0.946616352,33.95599365,1.096888065,14,Control
AC-11,BdIL116,,,NA,0,NA,,22,ITCZ
AC-11,BdIl37,30.11982727,39.70040894,28.80790329,51.5291748,29.3668232,27.51201057,6,ITCZ
AC-11,BdIL54,35.82376099,0.338573694,38.78509903,0.056116048,NA,0,9,ITCZ
AC-11,BdIL73,NA,0,NA,0,NA,0,14,ITCZ
AC-11,BdIL97,NA,0,NA,0,NA,0,20,ITCZ
AC-12,BdIL103,,,NA,0,NA,0,22,BMP
AC-12,BdIL33,32.72095871,7.258093357,34.69952774,0.966361463,36.78371429,0.174175635,6,BMP
AC-12,BdIL47,37.6737442,0.093285821,36.28248596,0.368158609,36.57494354,0.199521869,9,BMP
AC-12,BdIL66,NA,0,NA,0,NA,0,14,BMP
AC-12,BdIL87,NA,0,NA,0,NA,0,20,BMP
AC-14,BdIL117,,,NA,0,NA,,22,ITCZ
AC-14,BdIL31,32.31718063,9.448857307,31.90408516,6.202519894,32.31381607,4.193871021,6,ITCZ
AC-14,BdIL57,NA,0,NA,0,NA,0,9,ITCZ
AC-14,BdIL71,NA,0,NA,0,NA,0,14,ITCZ
AC-14,BdIL96,NA,0,NA,0,NA,0,20,ITCZ
AC-6,BdIL113,,,NA,0,NA,,22,ITCZ
AC-6,BdIL30,31.21471977,19.41604424,30.09090233,21.43068504,30.67897987,11.90672016,6,ITCZ
AC-6,BdIL51,39.00818634,0.036812041,40.0421257,0.023756534,37.93411636,0.116055652,9,ITCZ
AC-6,BdIL77,NA,0,NA,0,NA,0,14,ITCZ
AC-6,BdIL93,NA,0,NA,0,39.0907402,0.055468936,20,ITCZ
AC-7,BdIL109,NONE,NONE,35.94511414,0.452228218,36.74581146,0.178525209,22,BMP
AC-7,BdIL27,33.24527359,5.153094292,30.85319519,10.08082581,31.82019043,4.403382778,6,BMP
AC-7,BdIL49,35.40680313,0.45272243,33.82854843,1.643389225,34.866642,0.606447816,9,BMP
AC-7,BdIL64,38.63732147,0.152152434,35.87510681,0.471946567,37.88328171,0.085158087,14,BMP
AC-7,BdIL90,NA,0,38.27825546,0.109052151,36.66427231,0.188254029,20,BMP
AC-8,BdIL105,,,NA,0,NA,0,22,BMP
AC-8,BdIL32,38.0627861,0.221452996,30.45855713,12.82273388,31.52752304,5.327219009,6,BMP
AC-8,BdIL48,30.66328239,12.3397131,30.10924721,15.8658762,30.7952137,8.57959938,9,BMP
AC-8,BdIL70,35.34120178,1.310472608,34.53392792,1.069015145,36.52671051,0.205883816,14,BMP
AC-8,BdIL88,34.52048874,0.94012624,33.82196045,1.650002718,34.91223526,0.588718653,20,BMP
AC-9,BdIL104,,,NA,0,NA,0,22,BMP
AC-9,BdIL39,34.53445435,2.21979022,32.37272263,3.991953135,33.86864471,1.161044955,6,BMP
AC-9,BdIL43,NA,0,38.21409607,0.113402106,NA,0,9,BMP
AC-9,BdIL69,NA,0,38.81473541,0.078631327,NA,0,14,BMP
AC-9,BdIL83,35.35827637,0.550312698,36.62781525,0.298267156,36.11539459,0.269072294,20,BMP
EGG-10,BdIL108,,,30.45443916,12.85496521,31.27254677,6.288721561,22,BMP
EGG-10,BdIL23,30.50619698,30.84446526,28.20034409,50.80027008,29.2377739,23.63921928,6,BMP
EGG-10,BdIL45,31.54720497,6.665220261,30.68869591,11.14420319,31.37485886,5.883648872,9,BMP
EGG-10,BdIL68,30.76129532,26.10975266,29.05763435,30.12239456,30.40092278,11.08924866,14,BMP
EGG-10,BdIL85,31.01238632,8.852458954,29.74425697,19.81978989,30.379282,11.2465229,20,BMP
EGG-11,BdIL107,,,30.00133324,16.94475937,30.59915543,9.747141838,22,BMP
EGG-11,BdIL25,34.67242432,2.028468132,31.3823719,7.301146507,32.98687363,2.060898304,6,BMP
EGG-11,BdIL50,32.61964035,3.157014847,31.41589355,7.153455257,32.00226212,3.911371469,9,BMP
EGG-11,BdIL67,33.4891243,4.394249439,32.43943405,3.832859516,33.32940674,1.649108887,14,BMP
EGG-11,BdIL89,34.23983765,1.12485671,32.43910217,3.833634853,33.11227798,1.899392009,20,BMP
EGG-12,BdIL115,,,NA,0,NA,,22,ITCZ
EGG-12,BdIL40,35.13514709,1.499298573,32.69472885,3.612165928,33.56747437,1.884085774,6,ITCZ
EGG-12,BdIL55,NA,0,NA,0,NA,0,9,ITCZ
EGG-12,BdIL76,NA,0,NA,0,NA,0,14,ITCZ
EGG-12,BdIL94,NA,0,NA,0,NA,0,20,ITCZ
EGG-6,BdIL102,31.26093483,7.552049637,29.98948479,17.06759834,31.17069817,6.719655037,20,Control
EGG-6,BdIL122,,,28.81085396,35.01282501,29.13933563,25.20309639,22,Control
EGG-6,BdIL24,34.40346909,2.418098688,31.52798271,6.680963516,32.63673019,2.588300228,6,Control
EGG-6,BdIL62,38.71293259,0.045220871,37.75957489,0.149609894,NA,0,9,Control
EGG-6,BdIL82,35.22716522,1.411826968,33.92149734,1.552856207,33.76334381,1.243395567,14,Control
EGG-7,BdIL111,,,NA,0,NA,,22,ITCZ
EGG-7,BdIL41,36.691082,0.542563498,34.86180496,0.82073468,34.82495499,0.844358146,6,ITCZ
EGG-7,BdIL52,36.61623001,0.194911778,37.30978394,0.153892368,38.70074081,0.071147196,9,ITCZ
EGG-7,BdIL75,NA,0,NA,0,NA,0,14,ITCZ
EGG-7,BdIL91,NA,0,NA,0,NA,0,20,ITCZ
EGG-8,BdIL106,,,38.81110001,0.078805789,38.59920883,0.053442828,22,BMP
EGG-8,BdIL36,33.67803574,3.884080648,31.9276638,5.236238003,32.71012878,2.467576504,6,BMP
EGG-8,BdIL44,NA,0,NA,0,NA,0,9,BMP
EGG-8,BdIL65,NA,0,37.49888229,0.175380528,NA,0,14,BMP
EGG-8,BdIL84,34.88859558,0.743013561,33.60778046,1.880143642,33.8398056,1.18304038,20,BMP
EGG-9,BdIL119,,,NA,0,NA,0,22,Control
EGG-9,BdIL29,NA,0,36.96791458,0.242415622,38.74383545,0.048642382,6,Control
EGG-9,BdIL58,35.34388351,0.473012477,34.85352707,0.879764974,35.53863144,0.391628861,9,Control
EGG-9,BdIL79,NA,0,NA,0,NA,0,14,Control
EGG-9,BdIL98,NA,0,NA,0,NA,0,20,Control
TX-AC-3,BdIL118,,,37.94386292,0.133711308,38.92741394,0.043164983,22,Control
TX-AC-3,BdIL22,34.88204193,1.768874884,32.93890381,2.826721907,33.60148239,1.381512642,6,Control
TX-AC-3,BdIL59,NA,0,NA,0,NA,0,9,Control
TX-AC-3,BdIL81,NA,0,NA,0,NA,0,14,Control
TX-AC-3,BdIL99,NA,0,NA,0,NA,0,20,Control
TX-AC-5,BdIL112,,,NA,0,NA,,22,ITCZ
TX-AC-5,BdIL42,35.96813202,0.87008214,33.54161453,2.02425313,34.45739746,1.067612648,6,ITCZ
TX-AC-5,BdIL53,NA,0,NA,0,NA,0,9,ITCZ
TX-AC-5,BdIL72,NA,0,NA,0,NA,0,14,ITCZ
TX-AC-5,BdIL92,NA,0,NA,0,NA,0,20,ITCZ
TX-EGG-1,BdIL100,37.65637207,0.126660004,38.81458282,0.078638643,38.43225098,0.059576545,20,Control
TX-EGG-1,BdIL121,,,33.20298386,2.406385183,33.858181,1.168977857,22,Control
TX-EGG-1,BdIL34,NA,0,NA,0,NA,0,6,Control
TX-EGG-1,BdIL61,33.37674332,1.862790108,32.34820557,4.052066803,32.96689606,2.087866306,9,Control
TX-EGG-1,BdIL78,38.71616364,0.144514173,39.09656906,0.066218175,NA,0,14,Control
TX-EGG-3,BdIL114,,,NA,0,NA,,22,ITCZ
TX-EGG-3,BdIL26,33.34966278,4.813396454,31.77345085,6.782083988,32.34320068,4.115945816,6,ITCZ
TX-EGG-3,BdIL56,32.75998688,2.862894297,34.68294525,0.927511811,33.92682266,1.497922063,9,ITCZ
TX-EGG-3,BdIL74,NA,0,NA,0,NA,0,14,ITCZ
TX-EGG-3,BdIL95,NA,0,NA,0,NA,0,20,ITCZ
TX-EGG-4,BdIL110,,,NA,0,NA,0,22,BMP
TX-EGG-4,BdIL38,NA,0,35.33421707,0.656294882,35.93753052,0.302090585,6,BMP
TX-EGG-4,BdIL46,33.787323,1.399314284,32.99348068,2.734218836,33.52830505,1.448893189,9,BMP
TX-EGG-4,BdIL63,NA,0,NA,0,NA,0,14,BMP
TX-EGG-4,BdIL86,NA,0,NA,0,NA,0,20,BMP
